"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86660636","","NEW","2018-05-30T13:40:34","U","UC","N","Y","N","OFF","2017-07-24","2018-07-24"," ACT/360","USD","CR","","Credit:Exotic:Other","Partialtermination","EGYPT (ARAB REPUBLIC OF):9LN09IOE6","","Amount","1,895,270.21849","","","EGP","","36,000,000","","3M","","","","","","","","","","","","","","",""
"86660639","","NEW","2018-05-30T13:42:23","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","EUR","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","MARKIT ITRX EUROPE 06/23 ICE:2I666VCI4","","Basis points","69.5","","","EUR","","75,000,000","","3M","","","","","","","","","","","","","","",""
"86660196","","NEW","2018-05-30T12:57:07","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","iTraxx Europe Series 29 Version 1:2I666VCI4","","BasisPoints","68.81","","","EUR","","50,000,000","","3M","","","","","","","","","","","","","","",""
"86661237","","NEW","2018-05-30T13:48:25","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXIG","Trade","IG.30:2I65BYDP7","","Basis points","65.895","","","USD","","69,000,000","","3M","","","","","","","","","","","","","","",""
"86660238","","NEW","2018-05-30T13:37:51","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Trade","CDX.EM.29:2I65BZDJ8","","Price","97.1","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"86661937","","NEW","2018-05-30T13:54:21","C","","N","N","N","ON","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Trade","CDX.EM.29:2I65BZDJ8","","BasisPoints","97.095","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"86658318","","NEW","2018-05-30T13:10:23","U","PC","N","N","Y","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","CDX.NA.HY.30:2I65BRPO2","","Price","106.21","","","USD","","27,000,000","","3M","","","","","","","","","","","","","","",""
"86660405","","NEW","2018-05-30T13:40:42","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","EUR","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","MKIT ITRX EUR SNR FIN 06/23 I:2I667DBT0","","Basis points","87.7","","","EUR","","15,000,000","","3M","","","","","","","","","","","","","","",""
"86663861","","NEW","2018-05-30T14:10:08","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","Trade","ITRAXX EUROPE.MAIN.29.1:2I666VCI4","","BasisPoints","26.75","","","EUR","","50,000,000","","3M","","","","","0.85","P-","EU","EUR","133,750","","2018-08-15","","","",""
"86663862","","NEW","2018-05-30T14:10:07","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","Trade","ITRAXX EUROPE.MAIN.29.1:2I666VCI4","","BasisPoints","32.125","","","EUR","","50,000,000","","3M","","","","","0.8","P-","EU","EUR","160,625","","2018-08-15","","","",""
